story,amountRaised,goal,url,campaignTitle,numberContributors,endDate,currencyType
"Amazing parents Andrew and Sarah are raising funds to help their
  beautiful twin boys Freddie and Louie, and other children suffering
  from the rare, degenerative condition, CLN5 Batten disease. Freddie and Louie Dawkins are the only known twins in the world with
  this rare form of a rare disease. Born perfectly healthy in 2005, they
  became autistic, blind and recently developed epilepsy. When they were
  diagnosed in 2009, doctors said that without major advancements in
  medical science, there was no hope, no treatment and no cure. In February 2014 Andrew and Sarah decided to fight back through
  ‘Battle Batten’ their very own campaign to exclusively raise money for
  research into CLN5 Batten disease. Originally aiming for just £1,000, they have so far raised an
  incredible £80,000 and unbelievably commissioned two research
  projects. They are the first UK family to privately commission
  research into CLN5 Batten disease; donating funds to the Batten
  Disease Family Association (BDFA), a charity who is managing the
  projects on the family’s behalf. The cash raised in just 12 months has been unexpected, and
  emotionally overwhelming for the family and still, the momentum and
  passion is strong. The family will continue to fundraise for as long
  as they can. Proceeds will be donated to research projects and will
  buy equipment that best offers hope to children with CLN5, including
  Freddie and Louie.",215,of £100k goal,https://fundrazr.com/611LCf,Battle Batten with us,13,,Pound Sterling
"On Sunday, September 24th Team Ride to Give and Team Boom will be participating in Ironman 70.3 Augusta in Augusta , GA (Athlete list with race numbers to follow) Erik and Patty Heine of Oklahoma City, OK were excited to welcome
  their first child, a son Stephen, in 2007. After he was born, the
  Heines observed Stephen had broad thumbs and toes, which they found
  odd but endearing. He also had a LOT of hair! From birth, Stephen
  struggled with feeding which caused him to have trouble gaining
  weight. It was frustrating, but they chalked it up to reflux and enjoy
  their sweet new baby. As he grew, Stephen hit his milestones on time, but always at the
  late end of the ""normal"" range. When Stephen was nine months
  old, he had hernia surgery, which led to the discovery of a heart
  murmur and a kidney abnormality. Following surgery, Stephen's physical
  development stalled, and at one year old, he was referred for Early
  Intervention for therapies. There were still lingering
    questions about his health issues, and after additional testing,
    Stephen was diagnosed with Rubinstein Taybi Syndrome in
    May of 2008. Rubinstein Taybi Syndrome , a
  genetic disorder which affects approximately 1:250,000 births, is
  characterized by short stature, moderate to severe intellectual
  disability, distinctive facial features, and broad thumbs and first
  toes. Additional features of the disorder can include eye
  abnormalities, heart and kidney defects, dental problems, and obesity.
  These signs and symptoms vary among affected individuals. People with
  this condition have an increased risk of developing noncancerous and
  cancerous tumors, including certain kinds of brain tumors. Cancer of
  blood-forming tissue (leukemia) also occurs more frequently in people
  with Rubinstein Taybi syndrome. Infants born with this severe form of
  the disorder usually survive only into early childhood. Thankfully Stephen’s overall health has balanced out, and he
    is a happy and thriving 4th grader. Currently, Stephen receives private physical and occupational
  therapies, as well as physical, occupational, and speech therapy in
  his school setting.  To meet his goals of independence as an adult,
  Stephen spends approximately 3/4 of his school day with his typically
  developing peers, in the regular education classroom. Also, he has
  difficulty communicating verbally, so he uses Proloquo2Go software on an iPad
  mini to communicate. Doctors have not given the Heines a timeline as to what they should
  expect with Stephen, so they take everything one day at a time.
  They're determined to not let their child's disability or illness keep
  them from doing the things they love and find a way to adapt and make
  that activity possible. Erik is an avid runner, and for years it has
  been an activity he can share with Stephen. Up until recently, they
  have been able to use a traditional running stroller which Stephen has
  now out grown and is not 100% safe for him. After much research, Eric
  found the Blade at www.hoytrunningchairs.com . Hoyt Running Chairs designs and
    manufactures state-of-the-art racing chairs for individuals with
    disabilities. As a subdivision of Southbridge Tool &
    Manufacturing , they are able to custom build each chair to the
    comfort and needs of both the rider and the runner. They pride
    themselves on getting to know their clients and providing them with
    the ultimate racing experience. Mike Didonato , the president of Southbridge
    Tool & Manufacturing first heard the story of Rick and Dick Hoyt in 2009. Dick Hoyt has pushed his son Rick,
      who was diagnosed a spastic quadriplegic with cerebral palsy after
      his birth in 1962, in over 1,000 races including marathons,
      triathlons, and 6 Ironman races. Their story inspired Mike,
    and a few months later he happened to meet Dick Hoyt at a local
    grocery store. Mike mentioned his family’s manufacturing company and
    offered to fix Rick’s chair if needed. The next year, Dick Hoyt
    showed up at Southbridge Tool and Manufacturing and asked if a brand
    new chair could be built for Rick because he was very uncomfortable
    in his original chair. The Signature was built in time for the Hoyts to compete in the 2010 Boston Marathon . The chair was
    beautifully built for comfort, speed, and maneuverability. Soon,
    other teams and families began asking for a chair. In 2014, Mike was
    approached by Nick Sotar , a retired bicycle shop owner, who
    admired The Signature but had some ideas to improve the design. Nick
    presented Mike with a design for a revolutionary new racing chair
    called The Blade , which is easily
    disassembled and can be shipped in a bike box. After Stephen was diagnosed with Rubinstein Taybi syndrome at 18
  months old, it took almost seven years before they were able to get
  him on non-income-based Medicaid. As a result, the Heines ate through
  their entire family savings paying for medical bills and therapies
  even with insurance. Unfortunately, the cost of a Blade racing
    wheelchair is approximately 10% of Erik’s gross annual
  salary as a Professor of Music at Oklahoma City University ,
  and not something they have sitting around or in a savings account.
  The Blade has not been deemed ""essential"" by their
  insurance. However, Stephen's Occupational and Physical Therapists
  both believe that a chair that he can use for over a decade IS
  essential to helping him relieve stress and participate in an outdoor
  activity like his typically-developing peers. Ride to Give agrees and wants to provide Stephen with a custom
    built Blade that will fit him perfectly and will be used for years
    to come. Our mission at RTG is to turn athletic ability into
  fundraising power for families with children who are disabled,
  injured, or ill.  We think Stephen and Erik will make fantastic
  ambassadors for Team Ride to Give and we can’t wait to see them race
  for the first time with their new Hoyt Running Chair . Please help us purchase the
  Blade running chair and accessories for Stephen by making a tax
  deductible donation to Ride to Give. At this time, Stephen does not have a Facebook Page of his
    own, so follow Ride to GIve on Facebook for all updates. Contributions are solicited with the understanding that the
      donee organization (Ride to Give, 501c3 tax ID 46-2952297) has complete discretion and control over the use of all donated funds. Questions about how your donation is used can be answered by clicking here. Please visit Ride to Give on the web at www.ridetogive.com or on Facebook at www.facebook.com/ridetogive .","4,642",of $15k goal,https://fund.ridetogive.com/e1HGb1,Ride to Give- Flash Ironman Fundraiser for Stephen,279,"Sep 27, 2017",U.S. Dollar
"The past month has been the most excruciating I have ever known but
  within it has been Jaspers fight for life. Each day of the first 3
  weeks had presented numerous challenges both large and small and he
  has shown thus far that he is meeting them. He is now physically stable. Jasper suffered a major seizure the evening of 2/12/16. The
  severity of which has left him with anoxic brain injury (this is
  similar to a stroke). The complexity of this condition and the
  complete unknown aspect of what lies ahead in terms of recovery is
  what is being faced at this time. Jasper has weathered the
  'neurological storms' that came upon him as a result of this injury.
  These were very severe and difficult to bear. Doctors stated that
  these ""storms"" could last days, weeks, years or never cease.
  The absolutely wonderful news is his neurological storms have subsided
  after less than a month and he has been slowly awakening from this state. He has begun to move both legs, move his eyes ( visual
  tracking) and to turn his head. Very positive steps forward. He
  responds to touch and stimuli and a few times- though not yet
  consistent-we saw a smile......it was beautiful to see! Julianne, Jasper's mom (03/29/16) What we do know is that his recovery is going to be a long
  road. He is facing years of rehabilitation, initially in a
  facility equipped to deal with rebuilding his physical  and cognitive
  abilities. This is going to be costly and we need your help . Your generous donations will be
  used to ensure that Jasper is able to get the care he needs to reclaim
  his life.","54,205",of $200k goal,https://fundrazr.com/f17Vw9,Jasper's fund,530,,U.S. Dollar
"WHAT IS ENCHROMA? You wouldn't believe how lack of color impacts your every day life.
   I've seen this repeatedly for Isaac while he was young - but I could
  always intervene to help.  I can't do that's for him anymore.  When
  Isaac went to apply for his first job somewhere, he was told ""Go
  ask to talk to the man back there in the red shirt.""  When he
  looked at a room with a dozen people he couldn't distinguish who that
  person was. He's in the middle of high school now, working his first job, next
    year he'll begin driving - the world in which we live in will only
    increase in complexity without being able to see the same range of
    color. Over 300 million people worldwide are affected by red-green color
    vision deficiency, also called color blindness. Enchroma has created
    glasses which enhance color vision without the compromise of color accuracy. I hope someday insurance coverage for these glasses is an option.
     For now, as a single mom & full time student I created this
    campaign to ask for help.  So that anyone who wants to donate could
    help me give my son the gift he hasn't had his entire life - color
    vision.  Any amount helps $1, $5, $25.  Or if you would share the
    campaign with your friends too, that would help tremendously Check out these reactions",440,of $700 goal,https://fundrazr.com/b1G182,Help my son Isaac see color with Enchroma glasses!,6,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions","5,750",of $6.5k goal,https://fundrazr.com/f1HGf5,Colores para Alex,20,"Sep 24, 2017",Mexican Peso
"Hello! My name is Yvonne Foong, I was diagnosed with Neurofibromatosis type
  2 when I was 16 years old with hearing and vision damaged. It causes
  tumors to grow anywhere in my brain, along with the spinal cords and
  peripheral nerves. So far I have had 20 different surgeries to safely
  remove the tumors whenever needed to preserve my life. In November 2017, I need to under go surgery again to remove multiple
  large tumors called schwannoma from both my arms. They have made my
  fingers and hands increasingly numb. If they are not carefully
  removed, they can paralyze my arms. I cannot become incapacitated, my mother will be helpless if I loose
  the ability to take care of myself. Last year, I had brain surgery at
  the US NIH, the surgery was done well. However, I was not taken cared
  of well in the ward. My vision became damaged as a result, I have had
  to adapt by getting help from people to do my work and in order to
  stay productive, while my mother started having to prepare my daily
  living needs despite her advanced age.  So I must go for surgery with
  doctors who can do better to save my arms before it is too late. Some brief details about the surgery: Where: St Vincent Medical Center, Los Angeles. By Who: Dr. Gregory P Lekovic, Neurosurgeon. When: November 2017 For Malaysian supporter, you may contribute to my local bank account: Name:  Foong Ming Niang Public Bank Berhad:  6887203135 or you may also watch the video below to understand my family
  background and why I must preserve my ability to live independently. http://www.worksofgratitude.com/iv.html Thank you Yvonne Foong","2,885",of $48.3k goal,https://fundrazr.com/savemyarm,Please help to save Yvonne's arm,29,"Nov 10, 2017",U.S. Dollar
"“Life has a way of taking you on unexpected twists and turns that you
  did not plan or could ever imagine. So is the case with me being
  diagnosed with Sarcoidosis with advanced Idiopathic Pulmonary Fibrosis
  in 2013. A disease that until then I had never heard about. Two years,
  blood tests, numerous x-rays, an open lung biopsy, CT scans, lots of
  visits to the specialist and all kinds of medications later, reality
  finds me practically house-bound on oxygen therapy learning to adjust
  to my new normal.” -Excerpt from Rosemarie Hartnick’s Blog, https://rosemariehartnick.wordpress.com Rosemarie Hartnick is a mother of two stunning boys, Ross and Connor,
  and wife to Pastor Brian Hartnick. Anyone who knows her can attest to
  the driven, selfless, motivating person that she is. Living with
  Pulmonary fibrosis for the past 4 years has taken its toll on her
  family but she refuses to become a victim of her circumstance Pulmonary fibrosis is a disease marked by scarring of the tissue
  inside and between the air sacs in the lungs. When the scar forms, the
  tissue becomes stiff and thicker. This makes it harder for oxygen to
  pass through the walls of the air sac into the bloodstream. Once the
  lung tissue becomes scarred, the damage cannot be reversed. There is
  no cure. Many people with the disease live only about three to five
  years after diagnosis. As a friend and mentee of Rosmarie Hartnick, I am, with a few of my
  friends and family looking to help in any way that I can. The family
  is in need of a portable oxygen machine, a wheelchair, and help with
  month on month medical expenses. Rosemarie has recently undergone some
  rigorous testing at the Groote Schuur Hospital where she may undergo
  the very first double lung transplant to be carried out at the facility. Through a benefit concert, taking place on 1st October 2017,  and
  other efforts, we are looking to raise R50,000 for the Hartnick Family. We need your help to accomplish this. Would you consider donating in
  cash, kind, or time to help us achieve this mission? Please see the
  appendix for donation information. We thank you in advance for your support! Your donation is greatly
  appreciated and will be used to obtain a portable oxygen machine and
  wheelchair for Rosemarie and to cover a portion of the family’s
  medical bills. Please send an email to kasuba.sikamo@gmail.com for more information.",340,of $3.9k goal,https://fundrazr.com/e1HLZb,Rosemarie Hartnick,6,"Nov 2, 2017",U.S. Dollar
"Drew Aufderheide was diagnosed 2 1/2 years ago with a rare and
  incurable form of Chronic Myeloid Leukemia (CML) .  Only 5,000 per
  year in the United States are diagnosed with this disease and because
  the cancer is caused by a chromosomal change, there is no way to cure
  it - only medication to keep it at bay.  At the age of 33, it is
  extremely rare for someone like Drew to have this form of leukemia. 
  It is normally diagnosed in people with an average age of 67, and the
  life expectancy is approximately 15 years. There are currently a lot
  of unknown facts surrounding Drew's case because physicians and
  oncologists do not often see CML in someone so young and because of
  Drew's young age, his life expectancy is unknown. What is known, is that Drew needs to take a maintenance chemo
  drug/pill each day to manage the CML for the rest of his life, or
  until a cure is discovered.  There are only a few drugs available at
  this time to treat this disease and Drew's body has already rejected
  3.  He is on the last and 4th drug that is available at this time and
  because it is so rare the demand for the drug is low.  The medication
  he is on now comes from Switzerland, the only place it is made.  The
  doctor orders it through a lab in New Jersey, it is then
  mailed directly to Drew. This medication is not available through a pharmacy. Because of the low demand, the cost for Drew's medication is
  approximately $11,000 per/month.  Medical Insurance and grants pay a
  portion of the entire cost of the drug, so Drew is faced with finding
  funding to make up the balance.  This disease has been an incredible
  financial strain on Drew and his wife Val, who have been married for
  four years. With this medication comes side effects that he must
  manage.  Drew has met this challenge with his usual strength of
  determination, peace of soul, his faith in God and warm and loving demeanor. Drew is very grateful for the prayers and financial support people
  have shown him in the past.  Financially, the importance of any
  monetary gifts cannot be overstated.  It has allowed him to pay for
  the medication to keep him alive.  From a faith viewpoint, he cannot
  thank you all enough for your prayers.  He knows from experience that
  prayer works.  During this last year when weeks of side effects have
  kept him in bed unable to work, he felt your love and prayers.","13,565",of $20k goal,https://fundrazr.com/exjqd,Drew’s leukemia fight,133,,U.S. Dollar
"This is a unique open collaboration between the TwinsUK team at King's College London and The
      American Gut Project (AGP) to try to understand the bacterial
    diversity of the British Gut . *Notice: We are experiencing some delays with kit turnover, so
    please allow 2-3 weeks for your kit to arrive.* Many people don't realize that the bacteria that live inside us play
  an incredibly important role in our health. There are so many of them,
  that they make up 90 percent of the cells in our body and their most
  important jobs include manufacturing vitamins for us and breaking down
  and digesting our food. The trillions of bacteria in our gut weigh
  nearly 2 kg (over 4lbs). This community of bacteria can be thought of
  as an extra 'organ' which we call our ""microbiome"". We
  evolved together with our microbiome over millions of years. Recent
  research has discovered that small changes in this finely balanced
  community can affect our immune system, metabolism, body weight, mood
  and may even cause diseases such as Crohn's disease, irritable bowel
  syndrome, cancer, autoimmune disease, diabetes and heart disease. This is the first project of its kind in Europe and, with your help,
  we will be able to discover more about the crucial relationship
  between our health and our microbiome, and on a personal level, you
  will be able to discover the bacterial profile of your own gut. With
  your help, we hope to be able to answer questions such as 'How much
  does our choice of lifestyle and diet influence our microbiome, and
  can we alter our microbiome to make us healthier?' We are discovering that each person is very different and has their
  own unique microbiome. More research is needed to work out what
  constitutes a 'healthy' microbiome, and which combinations of bacteria
  should try and be avoided. In order to do this ambitious and
  much-needed project, we urgently need a large scale collection of
  human samples. Over 7 thousand people have already signed up in
  America already- but we need many more from UK Europe. The project mainly focuses on the gut as this is our main 'microbial
  home', however, the study will also look at oral, skin and (for women)
  vaginal communities as these areas of the body have problems such as
  tooth decay, gum disease, acne and infertility and may be influenced
  by the microbiome. What does it entail? First you need to sign up (see Perks on the right) and select your
  level of contribution to the project. Within two weeks, you will
  receive a kit in the mail together with detailed instructions on how
  to proceed. Shipping within the UK first class should be around £2.90,
  but we recommend taking the sample to the post office to get the
  proper postage. Getting the postage right on the first try is
  important since samples that spend a long time in transit will likely
  not produce the highest quality results. After you have returned your
  sample to us, the samples will be processed and analysed by the Knight
  Lab at University of California, San Diego and you will be provided
  with a list of the major groups of bacteria in your sample and the
  proportions in which they are found. We estimate that this will take
  around 3 months (but possibly longer) and once we provide you with
  your results, you will be able to see how your bacterial community
  compares to others in the study. From the diet and lifestyle
  information that you provide, we will also be able to show you how
  your results compare to other people who are within the same diet and
  lifestyle group as you (but having a very different result to them
  does not necessarily mean anything bad, it can just be that you have
  experienced slight lifestyle differences that mean that your bacterial
  profile is different). Please note that this is a scientific study, not a clinical or
      commercial project, and we will not be able to provide you with
      any clinical information related to your microbiome profile. How will my sample be used? The British Gut project, like the American model, gives participants
  the opportunity to compare their personal microbiome profiles to
  family members, and other people both in the UK and abroad. Our
  project is based on the principles of 'access to all'. The data
  collected from the sample you provide will be shared anonymously both
  with participants and scientists, allowing many different scientific
  hypotheses and questions to be answered using your valuable sample. We look forward to working together on this new and exciting project.
  If you have any questions, email us at info@britishgut.org Tim Spector","428,888",,https://fundrazr.com/britishgut,British Gut,,,
"DID YOU KNOW? Donny has red/green color deficiency o r
          ""colorblindness"" So while he can see most color he
          struggles to see certain colors or certain colors look
          different to him than to you and I. It's difficult to say if
          he even sees ""real"" colors the way we do. We play
          the ""what color is this?"" game a lot. -Sometimes Don can't
          differentiate between Guacamole and Bean dip without having to
          taste it since sometimes they are the same color to him. -He gave his sister food
          poisoning once because he couldn't tell that the chicken he
          cooked was still pink. (pink tends to look grey to him) -Speaking of which, this one
          time we were playing the Slug Bug game and this light blue beetle was driving by and he
          yelled ""PINK SLUG BUG"" before punching me- he
          cheated and we haven't played that game since. -He has to change the color
          options in his video games. Bad guys = red, team
          members=green, yeah... he can't tell most of the time so he
          ends up losing a lot because he doesn't shoot the bad guy or
          he shoots his own team member. (it's actually pretty cute when
          he plays with his little brother. The little brother sometimes
          coaches him ""Shoot!"" ""Don't shoot!"")
          You'll be surprised how many video games don't give color
          alternatives for red/green -Certain shades of Purple =
          Blue or vice versa in his world. I don't think he could see
          our wedding colors properly. I'm pretty sure he agreed to the
          color because I liked it and didn't want to disappoint me. -I've caught him asking little
          kids what colors were. Not because that's an adult thing to do
          but because he truly doesn't know . -When we shop he usually asks
          me ""what color are these?"" I've rescued him many
          times from buying the worst poop-colored pants. So. Many. Times. There's a ton more stories
          about Don and his color deficiency but it's part of our daily
          life we don't realize how lacking it
          truly is until its put in perspective, which makes for some
          funny stories. He's wanted to get these
          glasses forever. Life happens and we haven't been able to
          splurge on getting them. With your support we'd love for him
          to finally get them! Our goal is to get him two pairs, both
          the indoor and outdoor pair. Of course if we can get one of
          them funded, he'd be just as ecstatic. We'd be thankful for any
          support you can give!",240,of $429 goal,https://fundrazr.com/f1HL8a,Getting Don colorblind glasses!,3,"Nov 1, 2017",U.S. Dollar
